id,event_type,latitude,longitude,address,event_cause,requires_road_closure,start_datetime,status,authenticated,description,veh_type,corridor,priority,police_station,gba_identifier,zone,junction
FKID000010,unplanned,13.0008457,77.6813712,"ORR East 2, K.R. Pura Jurisdiction, Bengaluru, Karnataka, India",water_logging,FALSE,2024-03-07 18:01:40.182+00,closed,yes,water logging person movement ph phone,,ORR East 2,High,K.R. Pura,NULL,NULL,NULL
FKID000011,unplanned,12.94457,77.5274017,"ORR West 1, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 05:21:06.975+00,closed,yes,vehicle breakdown along ORR West 1 corridor and under Byatarayanapura jurisdiction,private_car,ORR West 1,High,Byatarayanapura,NULL,NULL,MysoreRd-RingRdJunc(Nayandanahallii)
FKID000012,unplanned,12.9995223,77.6827499,"ORR East 2, Mahadevapura Jurisdiction, Bengaluru, Karnataka, India",water_logging,FALSE,2024-03-07 18:00:05.02+00,active,yes,lorry under pass water logging traffic slow movement ph phone,,ORR East 2,High,Mahadevapura,NULL,NULL,NULL
FKID000013,unplanned,13.0418933,77.594705,"ORR North 1, Hebbala Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2023-12-26 19:15:28.124+00,closed,yes,starting problem,,ORR North 1,High,Hebbala,Bengaluru North Corporation,North Zone 1,HebbalFlyoverJunc
FKID000014,unplanned,12.975285,77.6256902,"Old Madras Road, Halasur Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-07 19:26:15.604+00,active,yes,traffic slow moving and accident happening,,Old Madras Road,High,Halasur,NULL,NULL,NULL
FKID000015,unplanned,13.0633917,77.5933483,"Bellary Road 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 19:10:21.93+00,active,yes,puncture tyre,,Bellary Road 2,High,Kodigehalli,NULL,NULL,NULL
FKID000016,unplanned,13.063425,77.5933,"Bellary Road 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 19:11:15.565+00,active,yes,tyre blast,,Bellary Road 2,High,Kodigehalli,NULL,NULL,NULL
FKID000017,unplanned,13.0254527,77.6417388,"ORR North 1, Hennuru Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 19:18:29.89+00,active,yes,location parked at ring road traffic little bit slow,,ORR North 1,High,Hennuru,NULL,NULL,NULL
FKID000018,unplanned,12.9233517,77.5904883,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 19:39:29.764+00,closed,yes,tree fallen ssmrv junction towards 20th main,,Non-corridor,Low,Jayanagara,NULL,NULL,NULL
FKID000019,unplanned,13.0001393,77.5840594,"Bellary Road 1, Sadashivanagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 04:49:17.231+00,closed,yes,ksrtc bus mechanic person that s why vehicle not moving,ksrtc_bus,Bellary Road 1,High,Sadashivanagar,NULL,NULL,NULL
FKID000020,unplanned,12.9071221,77.6286395,"Hosur Road, Madiwala Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 19:25:04.302+00,closed,no,breakdown,heavy_vehicle,Hosur Road,High,Madiwala,NULL,NULL,NULL
FKID000021,unplanned,12.927375,77.5806883,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",tree_fall,TRUE,2024-03-07 19:45:16.034+00,closed,yes,tree fall along Non-corridor corridor and under Jayanagara jurisdiction,,Non-corridor,Low,Jayanagara,NULL,NULL,NULL
FKID000022,unplanned,12.9169074,77.5950955,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-05 22:35:41.185+00,closed,yes,pot holes along Non-corridor corridor and under Jayanagara jurisdiction,,Non-corridor,Low,Jayanagara,Bengaluru South Corporation,South Zone 1,28thMainJayanagarJunc
FKID000023,unplanned,12.9667047,77.6615983,"Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:32:47.117+00,active,yes,NULL,,NULL,Low,Jeevanbheemanagar,NULL,NULL,NULL
FKID000024,unplanned,12.8966387,77.7202071,"Whitefield Jurisdiction, Bengaluru, Karnataka, India",water_logging,FALSE,2024-03-07 19:55:24.461+00,active,yes,water logging with drainage leakage near location bus stop location road,,Non-corridor,Low,Whitefield,NULL,NULL,NULL
FKID000025,unplanned,12.9463911,77.597326,"Wilson Garden Jurisdiction, Bengaluru, Karnataka, India",tree_fall,TRUE,2024-03-07 06:09:19.361+00,closed,no,tree fall along Non-corridor corridor and under Wilson Garden jurisdiction,,Non-corridor,Low,Wilson Garden,NULL,NULL,NULL
FKID000026,unplanned,12.9856042,77.5977438,"Shivajinagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:35:04.399+00,active,yes,chamber hole,,NULL,High,Shivajinagar,NULL,NULL,NULL
FKID000027,unplanned,12.9077383,77.6005709,"Bannerghata Road, Mico Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 08:12:47.138+00,closed,yes,bmtc bus offload due to gear box problem,bmtc_bus,Bannerghata Road,High,Mico Layout,NULL,NULL,NULL
FKID000028,unplanned,12.9635109,77.6642122,"HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:25:57.212+00,closed,yes,NULL,,NULL,Low,HAL Old Airport,NULL,NULL,NULL
FKID000029,unplanned,12.9667073,77.6615616,"Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:31:37.367+00,active,yes,NULL,,NULL,Low,Jeevanbheemanagar,NULL,NULL,NULL
FKID000030,unplanned,12.9666867,77.6616478,"Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:33:55.212+00,active,yes,pot holes along Non-corridor corridor and under Jeevanbheemanagar jurisdiction,,Non-corridor,Low,Jeevanbheemanagar,NULL,NULL,NULL
FKID000031,unplanned,12.907814,77.6006561,"Bannerghata Road, Mico Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,TRUE,2024-01-30 08:08:05.581+00,closed,yes,gd mara to person,bmtc_bus,Bannerghata Road,High,Mico Layout,NULL,NULL,NULL
FKID000032,unplanned,12.8955737,77.5993711,"Bannerghata Road, J.P. Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 05:43:18.534+00,closed,yes,near hsbc junction lgv vehicle off road due to clutch plate got broken have left side problem to traffic from hsbc to arakere junction,lcv,Bannerghata Road,High,J.P. Nagar,NULL,NULL,NULL
FKID000033,unplanned,12.92757,77.5832051,"Jayanagara Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:06:03.523+00,closed,yes,tree fall along Non-corridor corridor and under Jayanagara jurisdiction,,Non-corridor,Low,Jayanagara,NULL,NULL,NULL
FKID000034,unplanned,13.044697,77.5828546,"ORR North 2, Kodigehalli Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-01-30 05:38:15.485+00,closed,no,bwssb and kride work at location hebbal circle to bhadrappa layout,,ORR North 2,High,Kodigehalli,NULL,NULL,NULL
FKID000035,unplanned,12.9666885,77.6616396,"Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:35:57.672+00,active,yes,NULL,,NULL,Low,Jeevanbheemanagar,NULL,NULL,NULL
FKID000036,unplanned,12.9789228,77.5644032,"Magadi Road, Magadi Road Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 20:17:50.952+00,closed,yes,traffic normal,bmtc_bus,Magadi Road,High,Magadi Road,NULL,NULL,NULL
FKID000037,unplanned,12.8636494,77.6725849,"Electronic City Jurisdiction, Bengaluru, Karnataka, India",accident,FALSE,2024-01-30 03:52:59.126038+00,closed,yes,accident along Non-corridor corridor and under Electronic City jurisdiction,NULL,Non-corridor,Low,Electronic City,NULL,NULL,NULL
FKID000038,unplanned,12.9219483,77.6002467,"Bannerghata Road, Mico Layout Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 15:15:10.139+00,closed,yes,one garage vehicle stopped on road due to break down,heavy_vehicle,Bannerghata Road,High,Mico Layout,NULL,NULL,NULL
FKID000039,unplanned,12.9666597,77.661556,"Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 08:37:16.322+00,active,yes,pc18977,,NULL,Low,Jeevanbheemanagar,NULL,NULL,NULL
FKID000040,planned,12.946469,77.6986754,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",construction,FALSE,2024-01-30 11:31:12.848+00,closed,no,location works going on,,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID000041,unplanned,12.9936273,77.5844677,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",others,TRUE,2024-03-07 20:20:31.14+00,closed,yes,near cm office person towards b02 junction,,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000042,unplanned,12.9465079,77.6986339,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 20:38:19.329+00,closed,yes,biriyani zone person on location off road,bmtc_bus,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID000043,unplanned,13.0467058,77.5036495,"Chikkabanavara Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 18:29:50.857+00,closed,yes,vehicle breakdown along Non-corridor corridor and under Chikkabanavara jurisdiction,lcv,Non-corridor,Low,Chikkabanavara,NULL,NULL,NULL
FKID000044,unplanned,13.0166142,77.5054464,"Peenya Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2023-12-28 06:06:26.375+00,closed,no,bmtc off road on 14th cross towards nttf traffic one side movement,bmtc_bus,Non-corridor,Low,Peenya,Bengaluru West Corporation,West Zone 1,Peenya14thCrossJunc
FKID000045,planned,13.0085677,77.6131497,"K.G. Halli Jurisdiction, Bengaluru, Karnataka, India",construction,TRUE,2024-01-30 21:21:10.303+00,closed,yes,construction along Non-corridor corridor and under K.G. Halli jurisdiction,,Non-corridor,Low,K.G. Halli,NULL,NULL,NULL
FKID000046,unplanned,13.0309717,77.5364661,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 19:33:25.417+00,closed,yes,cmti jn incoming location lgv,lcv,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID000047,unplanned,13.0262806,77.5442344,"Tumkur Road, Yeshwanthpura Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 20:27:15.443+00,closed,yes,mei signal off due to power problem,,Tumkur Road,High,Yeshwanthpura,NULL,NULL,NULL
FKID000048,unplanned,12.9938639,77.5844374,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:41:41.999+00,closed,yes,tree fall along Bellary Road 1 corridor and under High ground jurisdiction,,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000049,unplanned,12.9188682,77.6687736,"ORR East 1, Bellandur Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 21:27:52.454+00,closed,yes,bmtc buss off road due to break down fire station jn towards location,bmtc_bus,ORR East 1,High,Bellandur,NULL,NULL,NULL
FKID000050,unplanned,12.9546127,77.6423399,"IRR(Thanisandra road), Jeevanbheemanagar Jurisdiction, Bengaluru, Karnataka, India",congestion,FALSE,2024-01-30 20:46:34.356+00,closed,no,congestion along IRR(Thanisandra road) corridor and under Jeevanbheemanagar jurisdiction,,IRR(Thanisandra road),High,Jeevanbheemanagar,NULL,NULL,NULL
FKID000051,unplanned,12.936133,77.5187044,"Mysore Road, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 21:13:55.445+00,closed,yes,vehicle breakdown along Mysore Road corridor and under Byatarayanapura jurisdiction,lcv,Mysore Road,High,Byatarayanapura,NULL,NULL,NULL
FKID000052,planned,12.9694079,77.7006346,"ORR East 2, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",construction,FALSE,2024-01-30 20:56:01.732+00,closed,yes,location towards marathahalli and karthiknagara towards mahadevapura traffic movement will be slow due to metro station work,,ORR East 2,High,HAL Old Airport,NULL,NULL,NULL
FKID000053,unplanned,12.9849833,77.5883633,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 21:47:40.463+00,closed,yes,car puncture traffic slow junction lrde,private_car,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000054,unplanned,13.0127301,77.5545135,"West of Chord Road, Malleshwaram Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 20:42:57.607+00,closed,yes,vehicle breakdown clutch plate problem,truck,West of Chord Road,High,Malleshwaram,NULL,NULL,NULL
FKID000055,unplanned,12.9842019,77.7336286,"Whitefield Jurisdiction, Bengaluru, Karnataka, India",road_conditions,FALSE,2024-01-30 21:54:56.083+00,closed,yes,road conditions along Non-corridor corridor and under Whitefield jurisdiction,,Non-corridor,Low,Whitefield,NULL,NULL,NULL
FKID000056,unplanned,13.2644465,77.7187627,"Devanahalli Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,TRUE,2024-01-30 19:36:33.702+00,closed,yes,hgv breakdown hagide,heavy_vehicle,Non-corridor,Low,Devanahalli Airport,NULL,NULL,NULL
FKID000057,unplanned,12.9848257,77.7527586,"Mahadevapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 22:06:02.276+00,closed,yes,gear jam not moving traffic slow moving,private_car,Non-corridor,Low,Mahadevapura,NULL,NULL,NULL
FKID000058,unplanned,12.9932986,77.5837571,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:51:39.532+00,closed,yes,tree fall along Bellary Road 1 corridor and under High ground jurisdiction,,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000059,unplanned,12.9937523,77.5842482,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:47:40.64+00,closed,yes,tree fall along Bellary Road 1 corridor and under High ground jurisdiction,,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000060,unplanned,12.9938868,77.5841876,"Bellary Road 1, High ground Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:45:19.752+00,closed,yes,tree fall along Bellary Road 1 corridor and under High ground jurisdiction,,Bellary Road 1,High,High ground,NULL,NULL,NULL
FKID000061,unplanned,12.9368467,77.6928653,"ORR East 1, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 23:05:02.339+00,resolved,yes,kadubisanahalli towards devarabisnahalli car starting problem,private_car,ORR East 1,High,HAL Old Airport,NULL,NULL,NULL
FKID000062,unplanned,13.0126766,77.5581246,"Malleshwaram Jurisdiction, Bengaluru, Karnataka, India",tree_fall,TRUE,2024-03-07 20:53:37.293+00,closed,yes,tree fall along Non-corridor corridor and under Malleshwaram jurisdiction,,Non-corridor,Low,Malleshwaram,NULL,NULL,NULL
FKID000063,unplanned,12.9513113,77.4994888,"Jnanabharathi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 23:12:23.123+00,closed,yes,bus breakdown,bmtc_bus,Non-corridor,Low,Jnanabharathi,NULL,NULL,NULL
FKID000064,unplanned,13.0160964,77.5068555,"Peenya Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 21:21:57.881+00,closed,yes,bmtc off road on 14th cross towards location traffic normal,bmtc_bus,Non-corridor,Low,Peenya,NULL,NULL,NULL
FKID000065,unplanned,12.9807501,77.6028238,"CBD 1, Shivajinagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-07 21:05:54.697+00,active,yes,pot holes along CBD 1 corridor and under Shivajinagar jurisdiction,,CBD 1,High,Shivajinagar,NULL,NULL,NULL
FKID000066,unplanned,12.9165983,77.583705,"J.P. Nagar Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 20:58:06.297+00,closed,yes,location 9 th main 46 crs trdd bsnl office tree fallen on main road closed,,Non-corridor,Low,J.P. Nagar,NULL,NULL,NULL
FKID000067,unplanned,13.0198619,77.6562235,"Hennuru Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-31 01:04:36.275+00,active,yes,pothole,,NULL,High,Hennuru,NULL,NULL,NULL
FKID000068,unplanned,13.0191848,77.6555127,"ORR North 1, Hennuru Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-31 01:01:36.195+00,active,yes,pot holes along ORR North 1 corridor and under Hennuru jurisdiction,,ORR North 1,High,Hennuru,NULL,NULL,NULL
FKID000069,unplanned,12.9740913,77.5452252,"West of Chord Road, Vijayanagara Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 00:33:27.663+00,closed,no,vehicle movment very slow,bmtc_bus,West of Chord Road,High,Vijayanagara,NULL,NULL,NULL
FKID000070,unplanned,12.9740971,77.5449011,"West of Chord Road, Vijayanagara Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 00:36:02.277+00,closed,yes,vehicle breakdown along West of Chord Road corridor and under Vijayanagara jurisdiction,bmtc_bus,West of Chord Road,High,Vijayanagara,NULL,NULL,NULL
FKID000071,unplanned,12.9688926,77.569795,"Chamarajpet Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 01:24:44.373+00,closed,no,location road jn towards mill road jn this vehicle back wheel puncture traffic little bit slow moving,auto,Non-corridor,Low,Chamarajpet,NULL,NULL,NULL
FKID000072,unplanned,12.9838737,77.5286068,"Magadi Road, Kamakshipalya Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-01-30 23:46:07.351+00,closed,yes,pot holes along Magadi Road corridor and under Kamakshipalya jurisdiction,,Magadi Road,High,Kamakshipalya,NULL,NULL,NULL
FKID000073,unplanned,12.9595586,77.5162093,"Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-01-30 23:23:41.783+00,closed,yes,traffic problem,,Non-corridor,Low,Byatarayanapura,NULL,NULL,NULL
FKID000074,unplanned,12.9511354,77.5739687,"V.V.Puram (C.Pet) Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 22:39:37.276+00,closed,yes,lgv vehicle tyre blast national college metro near towards mss junction traffic one side moving,lcv,Non-corridor,Low,V.V.Puram (C.Pet),NULL,NULL,NULL
FKID000075,unplanned,13.0192138,77.5395595,"Rajajinagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-30 23:11:03.886+00,closed,yes,traffic one side movement,others,Non-corridor,Low,Rajajinagar,NULL,NULL,NULL
FKID000076,unplanned,12.9161187,77.5856548,"J.P. Nagar Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-07 21:11:51.734+00,closed,yes,location 47 th cross road in front of milana hospital big pathole,,Non-corridor,Low,J.P. Nagar,NULL,NULL,NULL
FKID000077,unplanned,12.9284355,77.6811918,"ORR East 1, Bellandur Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,TRUE,2024-01-30 23:18:30.88+00,closed,yes,vehicle breakdown along ORR East 1 corridor and under Bellandur jurisdiction,bmtc_bus,ORR East 1,High,Bellandur,NULL,NULL,NULL
FKID000078,unplanned,13.0753282,77.4370383,"No Police Station Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 19:23:40.435+00,closed,yes,vehicle breakdown along Non-corridor corridor and under No Police Station jurisdiction,heavy_vehicle,Non-corridor,Low,No Police Station,NULL,NULL,NULL
FKID000079,unplanned,13.2673624,77.7195893,"Devanahalli Airport Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 19:23:25.4+00,closed,yes,devanahalli person cross towards location break down traffic problem,heavy_vehicle,Non-corridor,Low,Devanahalli Airport,NULL,NULL,NULL
FKID000080,unplanned,12.9449039,77.4949618,"Jnanabharathi Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 21:25:26.425+00,closed,yes,bmtc bus offroad in front of adishakti temple,,Non-corridor,Low,Jnanabharathi,NULL,NULL,NULL
FKID000081,unplanned,12.9873133,77.6163481,"Pulikeshinagar(F.Town) Jurisdiction, Bengaluru, Karnataka, India",tree_fall,FALSE,2024-03-07 21:17:00.312+00,closed,no,tree fallen traffic slow road,,Non-corridor,Low,Pulikeshinagar(F.Town),NULL,NULL,NULL
FKID000082,planned,12.969418,77.7006526,"ORR East 2, HAL Old Airport Jurisdiction, Bengaluru, Karnataka, India",construction,FALSE,2024-03-07 21:23:16.629+00,closed,yes,karthiknagara towards location and karthiknagara towards marathahalli traffic movement will be slow due to location station pillar work,,ORR East 2,High,HAL Old Airport,NULL,NULL,NULL
FKID000083,unplanned,12.9613232,77.5644194,"Mysore Road, Chamarajpet Jurisdiction, Bengaluru, Karnataka, India",others,TRUE,2024-03-07 21:14:45.233+00,closed,yes,electrical pol road person,,Mysore Road,High,Chamarajpet,NULL,NULL,NULL
FKID000084,unplanned,12.959419,77.5165897,"Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",others,FALSE,2024-03-07 21:28:44.841+00,closed,yes,traffic slow movement,,Non-corridor,Low,Byatarayanapura,NULL,NULL,NULL
FKID000085,unplanned,12.9431035,77.6220445,"Adugodi Jurisdiction, Bengaluru, Karnataka, India",pot_holes,FALSE,2024-03-07 21:25:14.206+00,closed,yes,pothole,,Non-corridor,Low,Adugodi,NULL,NULL,NULL
FKID000086,unplanned,12.8482637,77.6713737,"Electronic City Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 02:47:16.032+00,closed,yes,lgv breake down veersandar to location near ec 1,lcv,Non-corridor,Low,Electronic City,NULL,NULL,NULL
FKID000087,unplanned,12.96672,77.6093294,"Mysore Road, Ashok Nagar Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 05:03:24.794+00,closed,yes,vehicle breakdown along Mysore Road corridor and under Ashok Nagar jurisdiction,bmtc_bus,Mysore Road,High,Ashok Nagar,NULL,NULL,NULL
FKID000088,unplanned,13.0253205,77.6400845,"ORR North 1, Banaswadi Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-03-07 21:35:50.715+00,closed,yes,front wheel tyre blast,private_bus,ORR North 1,High,Banaswadi,NULL,NULL,NULL
FKID000089,unplanned,12.8561783,77.6645205,"Electronic City Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 02:08:55.286+00,closed,yes,slow,heavy_vehicle,Non-corridor,Low,Electronic City,NULL,NULL,NULL
FKID000090,unplanned,12.9641056,77.5825203,"Mysore Road, Halasuru Gate Jurisdiction, Bengaluru, Karnataka, India",water_logging,FALSE,2024-01-31 03:04:31.974+00,closed,yes,sjp road chebar open gai de trfice problem madam,,Mysore Road,High,Halasuru Gate,NULL,NULL,NULL
FKID000091,unplanned,12.974757,77.5657216,"Magadi Road, Magadi Road Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 01:22:31.388+00,closed,yes,towards hunasemara,lcv,Magadi Road,High,Magadi Road,NULL,NULL,NULL
FKID000092,unplanned,12.9640011,77.5836093,"Mysore Road, Halasuru Gate Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 01:45:45.37+00,closed,yes,vehicle breakdown along Mysore Road corridor and under Halasuru Gate jurisdiction,bmtc_bus,Mysore Road,High,Halasuru Gate,NULL,NULL,NULL
FKID000093,unplanned,12.9480512,77.5343585,"Mysore Road, Byatarayanapura Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 04:21:01.833+00,closed,yes,nayadahallie towards bhel incoming side traffic problem,heavy_vehicle,Mysore Road,High,Byatarayanapura,NULL,NULL,NULL
FKID000094,unplanned,12.9245654,77.6739287,"ORR East 1, Bellandur Jurisdiction, Bengaluru, Karnataka, India",vehicle_breakdown,FALSE,2024-01-31 03:31:13.977+00,closed,yes,dipo 13 call me phone,bmtc_bus,ORR East 1,High,Bellandur,NULL,NULL,NULL
